DATE,특_가격,상_가격,총반입량(ton),유가_종가(USD),수입금액(USD),수입중량(ton),수출금액(USD),수출중량(ton),is_holiday_season,days_to_holiday,is_pre_holiday,is_kimjang_season,is_pre_kimjang,is_covid,is_summer_highland,is_winter_jeju,is_spring_south,is_fall_south,주산지_평균기온,주산지_최고기온,주산지_최저기온,주산지_일교차,홍천_폭염,태백_폭염,제주_폭염,목포_폭염,홍천_한파,태백_한파,제주_한파,목포_한파,주산지_폭염,주산지_한파,주산지_기온_lag60,주산지_기온_lag75,주산지_기온_lag90,생육기_평균기온,생육기_최고기온,생육기_최저기온,생육기_폭염일수,생육기_한파일수,생육기_기온변동성,avg_rain_5d_sum,생육기_강수량,최근30일_폭염일수,최근30일_한파일수,특_가격_lag7,특_가격_lag14,특_가격_lag21,특_가격_lag28,특_가격_lag365,특_가격_MA7,특_가격_MA30,특_가격_std7,특_가격_std30,특_가격_pct_change_7d,특_가격_pct_change_14d,특_가격_yoy_change,특_가격_RSI,특_가격_BB_position,특_가격_level_30d,상_가격_lag7,상_가격_lag14,상_가격_lag21,상_가격_lag28,상_가격_lag365,상_가격_MA7,상_가격_MA30,상_가격_std7,상_가격_std30,상_가격_pct_change_7d,상_가격_pct_change_14d,상_가격_yoy_change,상_가격_RSI,상_가격_BB_position,상_가격_level_30d,volume_MA7,volume_MA30,volume_pct_change,supply_demand_ratio,supply_pressure,import_dependency,import_surge,oil_pct_change,holiday_supply,summer_supply,winter_import,price_volume_특,생육기온_여름고랭지,생육기온_겨울제주,폭염_공급압력,한파_공급압력,month_sin,month_cos,week_sin,week_cos,is_monday,target_high,target_mid
2022-11-27,5640.0,4557.0,294.5,76.43,643551.0,553.90105,23193.0,13.135,0,999,0,1,0,0,0,0,0,1,10.4,15.5,4.0,11.5,0,0,0,0,0,0,0,0,0,0,20.8,23.3,16.75,22.325,30.8,14.1,0.0,0.0,2.6028084964064697,5.375000000000014,235.3,0.0,0.0,5896.0,7447.0,11572.0,9901.0,5770.0,5681.285714285715,8122.233333333334,193.65580659774778,2178.20985790103,-0.04341926729986434,-0.24264804619309788,-0.022530329289427685,36.31682568528687,0.29170484581777223,0.029269010148550826,4431.0,6064.0,8044.0,7834.0,3899.0,4442.142857142857,6279.7,222.9233265585479,1685.5291228981055,0.028436018957346043,-0.24851583113456466,0.16876122082584846,36.16669726453999,0.3270484311683859,0.061847389558231936,292.64285714285717,284.65,0.01903114186851207,1.0346038631792076,0.03460389831006865,0.6528764237989048,0,-0.04593683684933203,0.0,0.0,0.0,1660980.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,5353.0,4914.0
2022-11-28,5922.0,4938.0,283.0,77.33,643551.0,553.90105,23193.0,13.135,0,999,0,1,0,0,0,0,0,1,17.6,21.0,11.6,9.4,0,0,0,0,0,0,0,0,0,0,19.8,25.5,16.799999999999997,22.425,30.8,15.1,0.0,0.0,2.43546887081109,11.100000000000012,207.45,0.0,0.0,5441.0,8298.0,10979.0,9661.0,5770.0,5750.0,7989.6,178.9646147532435,2187.287843504961,0.08840286712001477,-0.28633405639913234,0.026343154246100065,30.311567782558427,0.352945413642445,0.07074569789674848,4225.0,6847.0,8613.0,7474.0,3899.0,4544.0,6183.166666666667,265.9160268458062,1676.3465423010791,0.16875739644970422,-0.27880823718416825,0.2664785842523656,31.080277502469073,0.4209317980588379,0.12305220883533939,288.92857142857144,285.18333333333334,-0.08414239482200647,0.9923440713338529,-0.007655893600985569,0.6618477099312075,0,-0.03385807096451787,-0.0,0.0,0.0,1675926.0,0.0,0.0,-0.0,-0.0,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,1,5165.0,4881.0
2022-11-29,5644.0,4734.0,279.0,78.28,643551.0,553.90105,23193.0,13.135,0,999,0,1,0,0,0,0,0,1,10.3,18.8,4.9,13.9,0,0,0,0,0,0,0,0,0,0,20.5,26.0,18.049999999999997,22.506666666666668,30.8,15.2,0.0,0.0,2.322147242552062,20.525000000000013,200.35,0.0,0.0,5995.0,7360.0,9408.0,9087.0,5693.0,5699.857142857143,7847.7,144.7876935064804,2197.074357977562,-0.05854879065888241,-0.23315217391304344,-0.008607061303354846,34.034238928163816,0.3180972877490238,0.029857331960582,4418.0,5953.0,7758.0,7418.0,4088.0,4589.142857142857,6079.833333333333,267.7769149695421,1666.5936162150995,0.07152557718424624,-0.20477070384679996,0.15802348336594524,36.0045924224913,0.39659452443421905,0.09028112449799051,289.35714285714283,284.3666666666667,0.010869565217391353,0.9811276175901671,-0.018872347243968593,0.6650262277250554,0,-0.030348073826334754,-0.0,0.0,0.0,1574676.0,0.0,0.0,-0.0,-0.0,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,5073.0,4515.0
2022-11-30,5397.0,4800.0,241.0,80.66,643551.0,553.90105,23193.0,13.135,0,999,0,1,0,0,0,0,0,1,0.2,5.1,-1.7,6.8,0,0,0,0,0,0,0,0,0,0,21.9,26.6,22.7,22.48,30.8,15.2,0.0,0.0,2.324442832757737,20.650000000000013,200.35,0.0,0.0,5489.0,6089.0,10747.0,8603.0,6094.0,5686.714285714285,7705.566666666667,169.23033050359751,2213.5846522424754,-0.016760794315904493,-0.11364756117589092,-0.11437479488020816,42.04597701148072,0.26882774312109503,0.0,4172.0,4577.0,7923.0,6650.0,4297.0,4678.857142857143,5990.7,201.7997593092668,1660.955523704312,0.15052732502396937,0.04872187022066865,0.11705841284616902,53.66174055826761,0.43565670861096656,0.10088353413654456,281.2142857142857,281.06666666666666,-0.1912751677852349,0.8574477873298938,-0.14255217709135992,0.6968176014257674,0,0.033175355450236976,-0.0,0.0,0.0,1300677.0,0.0,0.0,-0.0,-0.0,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,5208.0,4505.0
2022-12-01,5007.0,4695.0,185.0,81.14,425701.0,394.75597,84404.0,133.572,0,999,0,1,0,0,0,1,0,0,5.5,7.0,4.0,3.0,0,0,0,0,1,1,0,0,0,0,23.0,26.1,23.4,22.466666666666665,30.8,15.2,0.0,0.0,2.320126829668438,20.600000000000016,190.47500000000002,0.0,0.0,5718.0,6211.0,10109.0,9578.0,6338.0,5585.142857142857,7569.566666666667,305.68198538831496,2250.80657854529,-0.1243441762854145,-0.19384962163902753,-0.210003155569577,36.96405370289049,0.16377218138318567,0.0,4347.0,4591.0,7370.0,7067.0,4512.0,4728.571428571428,5899.933333333333,139.7436428408255,1654.6582089680865,0.0800552104899932,0.0226530167719452,0.04055851063829697,51.65816326528306,0.4272216141438505,0.08401606425702676,268.35714285714283,278.6333333333333,-0.32727272727272727,0.6639549947139014,-0.33604496939663947,0.6809002125342459,0,0.04092366901860167,-0.0,0.0,394.75597,926295.0,0.0,22.466666666666665,-0.0,-0.0,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,5319.0,4525.0
2022-12-02,5488.0,5079.0,203.0,80.05,425701.0,394.75597,84404.0,133.572,0,999,0,1,0,0,0,1,0,0,7.1,10.1,5.4,4.699999999999999,0,0,0,0,1,0,0,0,0,0,25.4,25.9,24.9,22.483333333333334,30.8,15.2,0.0,0.0,2.339920914274169,20.625000000000014,202.62500000000003,0.0,0.0,5846.0,6725.0,9171.0,12240.0,5692.0,5534.0,7465.733333333334,283.93954755746756,2273.227023165601,-0.06123845364351699,-0.18394052044609666,-0.03583977512297899,36.51035986912734,0.3240509957315243,0.06650076040370433,4819.0,4924.0,6988.0,10397.0,4291.0,4765.714285714285,5847.566666666667,192.4125033065999,1654.9610201332987,0.05395310230338235,0.03147847278635263,0.18364017711488737,52.43175400060451,0.5814888526602023,0.14570281124497758,255.92857142857142,274.6333333333333,-0.30000000000000004,0.7391673477666946,-0.26083261582112094,0.6603965216709334,0,0.04736360068036105,-0.0,0.0,394.75597,1114064.0,0.0,22.483333333333334,-0.0,-0.0,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,4673.0,4016.0
2022-12-03,5353.0,4914.0,257.0,80.05,425701.0,394.75597,84404.0,133.572,0,999,0,1,0,0,0,1,0,0,10.4,12.3,5.9,6.4,0,0,0,0,0,0,0,0,0,0,19.3,23.0,25.6,22.273333333333333,30.8,15.2,0.0,0.0,2.3332577984490217,10.175000000000015,229.85000000000002,0.0,0.0,5640.0,5896.0,7447.0,11572.0,5646.0,5493.0,7324.9,286.789121133418,2268.7245596559264,-0.05088652482269507,-0.09209633649932158,-0.05189514700672951,43.022359290655295,0.3009867327382868,0.047836305820544066,4557.0,4431.0,6064.0,8044.0,4136.0,4816.714285714285,5775.8,174.33465355090945,1646.9197874233662,0.07834101382488479,0.1090047393364928,0.18810444874274207,58.447009443832876,0.5460487405727038,0.11919678714859246,248.92857142857142,274.3,-0.16013071895424835,0.9369303340528496,-0.06306962949071716,0.6056806260527139,0,0.04736360068036105,-0.0,0.0,394.75597,1375721.0,0.0,22.273333333333333,-0.0,-0.0,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,4507.0,3821.0
2022-12-04,5353.0,4914.0,293.5,80.05,425701.0,394.75597,84404.0,133.572,0,999,0,1,0,0,0,1,0,0,8.1,10.9,6.5,4.4,0,0,0,0,0,0,0,0,0,0,16.2,20.5,24.0,22.013333333333332,30.8,15.1,0.0,0.0,2.5579805253004317,0.8250000000000142,115.85,0.0,0.0,5640.0,5896.0,7447.0,11572.0,5678.0,5452.0,7095.333333333333,282.7578469299904,2096.099651048635,-0.05088652482269507,-0.09209633649932158,-0.05723846424797363,43.022359290655295,0.283981232711622,0.0527037319116519,4557.0,4431.0,6064.0,8044.0,4025.0,4867.714285714285,5593.033333333334,133.01718471204742,1402.4989884643085,0.07834101382488479,0.1090047393364928,0.22086956521738582,58.447009443832876,0.6354866761854676,0.1670794866021129,248.78571428571428,278.48333333333335,-0.00339558573853993,1.0539229976447544,0.05392303355354473,0.5735598112783561,0,0.04736360068036105,0.0,0.0,394.75597,1571105.5,0.0,22.013333333333332,0.0,0.0,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,4507.0,3821.0
2022-12-05,5165.0,4881.0,330.0,77.08,425701.0,394.75597,84404.0,133.572,0,999,0,1,0,0,0,1,0,0,5.8,7.8,4.6,3.2,0,0,0,0,0,0,0,0,0,0,17.0,20.3,21.7,21.856666666666666,30.8,15.0,0.0,0.0,2.716829203233138,0.5750000000000142,75.925,0.0,0.0,5922.0,5441.0,8298.0,10979.0,5678.0,5343.857142857143,6881.766666666666,207.8929440625023,1945.2213717356824,-0.1278284363390746,-0.050725969490902356,-0.09034871433603223,46.19205298011461,0.16402530933891718,0.0240670220868237,4938.0,4225.0,6847.0,8613.0,4025.0,4859.571428571428,5487.6,129.70075448675195,1328.8492195413264,-0.011543134872417982,0.15526627218934919,0.21267080745341085,62.21146686519468,0.7230260709784836,0.1596487277640135,255.5,280.85,0.16607773851590113,1.175004408936998,0.17500444454319222,0.5446743192101706,0,-0.003232897969740023,0.0,0.0,394.75597,1704450.0,0.0,21.856666666666666,0.0,0.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,1,4704.0,4060.0
2022-12-06,5073.0,4515.0,316.0,74.46,425701.0,394.75597,84404.0,133.572,0,999,0,1,0,0,0,1,0,0,8.6,12.3,3.7,8.600000000000001,0,0,0,0,0,0,0,0,0,0,15.9,20.3,21.8,21.660000000000004,30.8,14.6,0.0,0.0,2.926525537926861,0.5750000000000142,78.25,0.0,0.0,5644.0,5995.0,7360.0,9408.0,5459.0,5262.285714285715,6665.133333333333,180.74725842756476,1757.7233263383082,-0.101169383416017,-0.15379482902418684,-0.07070892104780965,35.42061986083189,0.14855080755572106,0.011051574012056078,4734.0,4418.0,5953.0,7758.0,3732.0,4828.285714285715,5369.966666666666,181.21967726689172,1248.5164847303415,-0.0462610899873257,0.021955636034404646,0.2098070739549783,51.69639734170256,0.37298352827844655,0.07723485701418425,260.7857142857143,282.2,0.13261648745519716,1.1197731708088885,0.11977320624474824,0.555402952782754,0,-0.048799182422074705,0.0,0.0,394.75597,1603068.0,0.0,21.660000000000004,0.0,0.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,4750.0,4382.0
